brand,colour,avg_rating
vbuyz,green,4.666666667
indi inside,pink,3.872340426
styli,black,3.958924972
taffykids,pink,4.045509519
pluss,purple,4.132094065
h&m,multi,4.218678612
mabish by sonal jain,maroon,4.305263158
janasya,black,4.210526316
all about you,off white,4.297619048
u&f,black,3.919191919
scorpius,white,3.96
taavi,black,4.04
anouk,black,3.934285714
anouk,mustard,4.164444444
h&m,black,4.833333333
kassually,black,4.286231884
mango,navy blue,3.739130435
biba,blue,4.089565218
juniper,pink,4.44
ix impression,gold,4.36817357
here&now,navy blue,4.29634714
madame,grey melange,4.22452071
h&m,pink,4.15269428
pluss,mauve,4.08086785
berrylush,white,4.345588235
bhama couture,mustard,4.339285714
domyos by decathlon,white,4.452380952
tokyo talkies,blue,4.067669173
samsara couture,turquoise blue,3.625
biba,blue,3.5
roadster,purple,3.866666667
mitera,blue,4.406593407
shewill,teal,4.37119414
get wrapped,purple,4.335794872
urbanic,black,4.300395605
indya,orange,4.264996337
forever 21,blue,4.22959707
only,beige,4.194197802
disrupt,black,4.158798535
h&m,blue,4.123399267
tokyo talkies,blue,4.088
roadster,blue,3.960505529
sera,black,4.085714286
dupatta bazaar,pink,4.22706767
fablestreet,rose,4.368421053
mast & harbour,white,4.577777778
harvard,sea green,4.373134328
varanga,white,3.531531532
sangria,beige,4.288888889
varanga,red,3.794247788
mango,cream,4.18283818
saubhagya,peach,4.571428571
luyk,pink,4.472789115
heart up my sleeves,black,4.37414966
swtantra,grey,4.275510204
shaily,green,4.176870748
allen solly woman,maroon,4.078231293
sqew,black,3.979591837
tokyo talkies,navy blue,4.388297872
sassafras,black,4.208806818
anayna,blue,4.571428571
roadster,blue,4.111111111
oxolloxo,white,3.423076923
saree mall,burgundy,4.392857143
shae by sassafras,teal,4.276785715
sassafras,blue,4.160714286
tankhi,pink,3.865384615
biba,yellow,4.099358974
clora creation,cream,4.333333333
white fire,orange,2
lill,navy blue,3.5
kalini,pink,3.6
anti culture,grey,3.812698413
max,blue,4.025396825
sassafras,mustard,4.238095238
uptownie lite,burgundy,4.204585538
berrylush,black,4.508333333
tokyo talkies,blue,3.94980695
vishudh,black,4.542857143
fablestreet,navy blue,4.483870968
sassafras,blue,4.208333333
divyank,navy blue,4.233959819
shaily,blue,4.045551338
inweave,charcoal,3.857142857
forever 21,lavender,4.818181818
paralians,green,4.888888889
forever 21,black,4.425925926
fashion basket,red,3.962962963
apnisha,grey,3.5
urbanic,black,3.672348485
urbanic,green,3.84469697
rajnandini,beige,4.017045455
anubhutee,teal,4.347490347
mitera,pink,4.086805556
hypernation,black,4.513513514
here&now,white,4.099770642
ethnovogue,maroon,4.310344828
soch,gold,4.515625
berrylush,white,4.454545455
tokyo talkies,olive,4.35
libas,lavender,4.298850575
mango,white,4.28256705
max,black,4.266283525
vastrado,blue,4.25
nifty,black,4.283116883
mango,black,4.316233766
aturabi,grey,4.34935065
h&m,beige,4.382467533
dupatta bazaar,white,4.415584416
dolce crudo,navy blue,4.300851466
sangria,beige,3.954220315
fablestreet,brown,4.302681992
dressberry,red,4.095238095
mango,off white,4.204545455
zink london,black,4
luni,yellow,4.56
indo era,blue,4.105263158
h&m,grey,4.545454545
all about you,coffee brown,3.642857143
one friday,cream,3.918202765
sangria,lime green,4.193548387
soch,red,4.118510585
shae by sassafras,teal,4.043472782
tokyo talkies,black,3.96843498
allen solly woman,olive,3.893397177
ether,black,3.818359375
scorpius,white,3.731707317
anayna,blue,4.299465241
sassafras,white,3.953736655
suta,pink,4.235
harvard,maroon,4.454545455
urbanic,blue,4.454545455
mango,black,4.526315789
biba,yellow,3.973684211
aayna,black,3.421052632
titliyan,yellow,3.538945495
oxolloxo,black,3.656838357
griffel,black,3.77473122
weavers villa,pink,3.892624083
