brand,avg_rating
anayna,4.299465241
sassafras,3.953736655
suta,4.235
harvard,4.454545455
urbanic,4.454545455
mango,4.526315789
biba,3.973684211
aayna,3.421052632
titliyan,3.538945495
oxolloxo,3.656838357
griffel,3.77473122
weavers villa,3.892624083
emprall,4.010516945
allen solly woman,4.128409808
baisacrafts,4.24630267
veni vidi vici,4.364195533
sassafras,4.143987342
juniper,4.21875
sangria,3.927419355
bhama couture,4.120805369
dressberry,2.962962963
roadster,4.117021277
kassually,4.357142857
harvard,3.923076923
sassafras,4.308900524
sky heights,5
biba,4.890756303
dressberry,4.781512605
only,4.672268908
inddus,4.56302521
arhi,4.453781513
aarika,4.344537815
espresso,4.235294118
street 9,4.512544803
inweave,4.103896104
roadster,4.394736842
puma,4.351214575
sassafras,4.307692308
levis,4.4
anouk,4.538461538
libas,4.603448276
friskers,4.363636364
stylee lifestyle,4.348951049
mango,4.334265735
apratim,4.31958042
urbanic,4.304895105
styli,4.29020979
klotthe,4.275524476
fashion basket,4.260839161
tokyo talkies,4.246153846
shae by sassafras,4.236821245
anayna,4.105263158
saree mall,4.330663616
biba,3.951046094
mango,3.571428571
taavi,4.285714286
only,5
h&m,4.955263158
bannos swagger,4.910526316
wearjukebox,4.865789474
kiroshe by kiran,4.821052632
arteastri,4.77631579
monte carlo,4.731578947
bostreet,4.686842105
van heusen woman,4.642105263
here&now,4.597368421
loom legacy,4.552631579
roadster,4.198473282
roadster,4.441176471
rute,3.769230769
h&m,4.3125
anubhutee,3.736111111
mast & harbour,3.506944445
saka designs,3.277777778
varanga,3.574074074
raisin,4.203703703
mast & harbour,4.833333333
athena,4.6
faballey,4.266666667
mitera,3.933333333
natilene,3.945555555
soch,3.957777778
styli,3.97
tokyo talkies,3.982222222
faballey,4.037037037
u&f,4.074829932
puma,3.870748299
tiara,3.666666667
rain & rainbow,4.333333333
dupatta bazaar,4
suta,4.5125
kappa,3.458333333
ethnic junction,3.617521367
tokyo talkies,3.776709402
myshka,3.935897436
tokyo talkies,4.322429907
mango,4.2
van heusen woman,4.198387097
juniper,4.196774194
bitiya by bhama,4.19516129
indya,4.193548387
sassafras,4.337899543
u&f,4.369565217
jaipur kurti,4.225806452
anouk,3.597222222
roadster,4
anouk,3.553571429
levis,4.565217391
panchhi,4.125
aarika,4.3125
h&m,4.5
all about you,3.555555556
iki chic,4.277777778
